iter	Passed	Remaining
0	54	54745
1	55	27681
2	56	18686
3	56	14161
4	57	11458
5	58	9657
6	59	8372
7	59	7403
8	60	6656
9	61	6055
10	61	5562
11	62	5148
12	63	4800
13	63	4500
14	64	4243
15	65	4015
16	65	3816
17	66	3638
18	67	3482
19	68	3335
20	68	3200
21	69	3084
22	70	2977
23	70	2878
24	71	2786
25	72	2705
26	72	2626
27	73	2557
28	74	2492
29	75	2431
30	75	2374
31	76	2318
32	77	2266
33	78	2217
34	78	2174
35	79	2133
36	80	2093
37	81	2055
38	81	2018
39	82	1983
40	83	1947
41	83	1914
42	84	1881
43	85	1849
44	85	1820
45	86	1792
46	87	1765
47	87	1739
48	88	1714
49	88	1690
50	89	1667
51	90	1645
52	90	1624
53	91	1602
54	92	1583
55	92	1564
56	93	1545
57	93	1526
58	94	1509
59	95	1491
60	95	1475
61	96	1459
62	97	1444
63	97	1429
64	98	1416
65	99	1402
66	99	1388
67	100	1371
68	100	1358
69	101	1347
70	102	1335
71	102	1323
72	103	1311
73	103	1300
74	104	1289
75	105	1278
76	105	1268
77	106	1257
78	107	1247
79	107	1239
80	108	1229
81	108	1219
82	109	1210
83	110	1201
84	110	1189
85	111	1182
86	111	1172
87	112	1164
88	113	1157
89	113	1150
90	114	1144
91	115	1137
92	115	1130
93	116	1123
94	117	1117
95	118	1111
96	118	1105
97	119	1099
98	120	1093
99	120	1087
100	121	1081
101	121	1072
102	122	1066
103	123	1060
104	123	1054
105	124	1048
106	124	1043
107	125	1037
108	126	1032
109	127	1028
110	127	1023
111	128	1019
112	129	1014
113	129	1010
114	130	1004
115	131	999
116	131	994
117	132	990
118	133	984
119	133	979
120	134	975
121	134	971
122	135	964
123	135	959
124	136	955
125	137	951
126	137	946
127	138	941
128	138	937
129	139	933
130	140	930
131	140	926
132	141	921
133	142	918
134	142	915
135	143	911
136	144	908
137	144	904
138	145	902
139	146	899
140	147	895
141	147	892
142	148	889
143	149	886
144	149	883
145	150	880
146	151	877
147	151	874
148	152	871
149	153	869
150	154	866
151	154	862
152	155	859
153	155	856
154	156	853
155	157	850
156	157	847
157	158	845
158	159	843
159	160	840
160	160	837
161	161	834
162	161	831
163	162	828
164	163	826
165	163	823
166	164	821
167	165	818
168	165	815
169	166	812
170	167	810
171	167	808
172	168	806
173	169	804
174	170	802
175	170	800
176	171	797
177	172	795
178	172	793
179	173	790
180	173	786
181	174	783
182	175	781
183	175	779
184	176	777
185	177	775
186	177	773
187	178	771
188	179	769
189	179	766
190	180	764
191	181	761
192	181	760
193	182	758
194	183	756
195	184	754
196	184	752
197	185	750
198	185	748
199	186	746
200	187	743
201	187	741
202	188	739
203	189	737
204	189	736
205	190	733
206	190	731
207	191	729
208	192	727
209	192	725
210	193	723
211	194	721
212	194	719
213	195	717
214	196	716
215	196	714
216	197	712
217	198	710
218	198	708
219	199	707
220	200	705
221	200	704
222	201	702
223	202	701
224	203	699
225	203	698
226	204	696
227	205	695
228	205	693
229	206	691
230	207	689
231	207	688
232	208	686
233	209	684
234	209	683
235	210	681
236	211	679
237	211	677
238	212	676
239	212	674
240	213	672
241	214	670
242	215	669
243	215	668
244	216	666
245	217	665
246	217	663
247	218	661
248	218	660
249	219	658
250	220	657
251	220	655
252	221	654
253	222	652
254	222	651
255	223	649
256	224	648
257	225	647
258	225	646
259	226	644
260	227	642
261	227	641
262	228	639
263	229	638
264	229	636
265	230	635
266	230	633
267	231	632
268	232	630
269	232	629
270	233	627
271	233	626
272	234	624
273	235	623
274	235	621
275	236	620
276	237	618
277	237	617
278	238	616
279	239	615
280	239	613
281	240	612
282	241	611
283	241	610
284	242	608
285	243	607
286	243	605
287	244	604
288	245	602
289	245	601
290	246	600
291	247	598
292	247	597
293	248	596
294	248	594
295	249	593
296	249	591
297	250	590
298	251	588
299	251	587
300	252	585
301	252	584
302	253	583
303	254	582
304	254	580
305	255	579
306	256	577
307	256	576
308	257	575
309	258	574
310	258	573
311	259	572
312	260	571
313	261	570
314	262	569
315	262	568
316	263	567
317	264	566
318	264	565
319	265	564
320	266	562
321	266	561
322	267	560
323	267	558
324	268	557
325	269	556
326	269	555
327	270	553
328	270	552
329	271	551
330	272	550
331	272	548
332	273	547
333	274	546
334	274	545
335	275	544
336	275	542
337	276	541
338	277	540
339	277	539
340	278	538
341	279	537
342	280	536
343	280	535
344	281	534
345	282	533
346	282	532
347	283	531
348	284	530
349	284	529
350	285	528
351	286	527
352	287	526
353	287	525
354	288	524
355	289	523
356	290	522
357	290	521
358	291	520
359	292	519
360	293	518
361	293	517
362	294	516
363	295	515
364	295	514
365	296	514
366	297	513
367	298	512
368	298	511
