iter	Passed	Remaining
0	54	54820
1	55	27734
2	56	18699
3	56	14174
4	57	11492
5	58	9685
6	59	8401
7	59	7435
8	60	6681
9	61	6079
10	62	5581
11	62	5162
12	63	4812
13	64	4513
14	64	4252
15	65	4039
16	66	3843
17	67	3664
18	68	3513
19	68	3372
20	69	3244
21	70	3129
22	71	3022
23	71	2924
24	72	2829
25	73	2742
26	73	2666
27	74	2591
28	75	2521
29	75	2456
30	76	2399
31	77	2347
32	78	2296
33	79	2248
34	79	2199
35	80	2155
36	81	2111
37	81	2069
38	82	2029
39	83	1994
40	83	1959
41	84	1925
42	85	1893
43	85	1862
44	86	1833
45	87	1804
46	87	1777
47	88	1751
48	88	1725
49	89	1703
50	90	1680
51	90	1657
52	91	1635
53	92	1615
54	92	1595
55	93	1576
56	94	1559
57	94	1541
58	95	1525
59	96	1508
60	96	1492
61	97	1476
62	98	1461
63	98	1446
64	99	1433
65	100	1419
66	100	1405
67	101	1392
68	102	1380
69	103	1369
70	103	1358
71	104	1346
72	105	1334
73	105	1323
74	106	1312
75	107	1302
76	107	1291
77	108	1281
78	109	1272
79	109	1262
80	110	1253
81	111	1243
82	111	1231
83	112	1222
84	112	1214
85	113	1205
86	114	1197
87	114	1189
88	115	1180
89	116	1173
90	116	1165
91	117	1157
92	117	1150
93	118	1143
94	119	1135
95	119	1128
96	120	1121
97	121	1114
98	121	1107
99	122	1101
100	122	1094
101	123	1088
102	124	1082
103	124	1075
104	125	1069
105	126	1063
106	126	1058
107	127	1053
108	128	1047
109	128	1042
110	129	1036
111	130	1032
112	130	1027
113	131	1022
114	132	1017
115	132	1013
116	133	1006
117	134	1002
118	134	997
119	135	992
120	136	988
121	136	982
122	137	978
123	137	973
124	138	968
125	139	965
126	139	960
127	140	956
128	141	952
129	141	948
130	142	943
131	142	939
132	143	935
133	144	931
134	144	927
135	145	923
136	146	919
137	146	916
138	147	912
139	147	908
140	148	905
141	148	899
142	149	896
143	150	892
144	150	889
145	151	885
146	152	882
147	152	878
148	153	875
149	153	872
150	154	868
151	155	865
152	155	862
153	156	858
154	157	856
155	157	852
156	158	849
157	158	846
158	159	844
159	160	841
160	160	837
161	161	834
162	161	831
163	162	828
164	163	826
165	163	823
166	164	820
167	165	817
168	165	814
169	166	812
170	167	809
171	167	807
172	168	804
173	168	802
174	169	799
175	170	796
176	170	794
177	171	791
178	172	789
179	172	786
180	173	784
181	173	781
182	174	779
183	175	776
184	175	774
185	176	771
186	177	769
187	177	767
188	178	765
189	178	763
190	179	760
191	180	758
192	181	756
193	181	754
194	182	752
195	182	750
196	183	748
197	184	746
198	184	744
199	185	742
200	186	740
201	186	738
202	187	736
203	188	734
204	188	732
205	189	730
206	190	728
207	190	725
208	191	724
209	191	722
210	192	720
211	193	718
212	193	716
213	194	714
214	195	712
215	195	710
216	196	708
217	196	706
218	197	704
219	198	702
220	198	700
221	199	698
222	200	697
223	200	695
224	201	693
225	201	691
226	202	689
227	203	688
228	203	686
229	204	684
230	205	683
231	205	681
232	206	679
233	207	678
